#rname	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
slr1411|53	1	71	1	71	100	1	32.3	23
slr1411|92	1	74	3	73	98.6486	0.986486	32.3	18
ppiB|76	1	73	1	73	100	3	32.5	0
ppiB|12	1	76	4	76	100	1	32.2	7.5
sll1663|10	1	71	1	71	100	4	32.1	42
sll1665|122	1	75	1	75	100	1	33	8
slr1104|124	1	76	1	76	100	1	31.9	42
slr1104|73	1	72	1	72	100	1	33.7	3
slr1417|142	1	76	1	76	100	1	31.6	3
slr1414|25	1	73	4	72	98.6301	0.986301	31.4	1.5
sll0696|120	1	71	1	71	100	4	33.2	3
slr0612|109	1	74	1	73	98.6486	0.986486	32.1	24
slr0612|140	1	71	1	71	100	1	33.9	23
slr0612|43	1	75	1	75	100	1	32.5	8
slr1102|91	1	73	2	73	100	1	33	4
slr1102|3	1	72	1	72	100	2	32.7	0
dfr|175	1	72	1	71	98.6111	0.986111	32.4	8
dfr|100	1	75	1	73	97.3333	0.973333	33.5	33
sll1052|154	1	72	1	72	100	1	31	3
sll1052|61	1	76	1	76	100	1	32.6	23
exbB|40	1	74	1	73	98.6486	0.986486	33.6	3
exbB|214	1	76	2	75	98.6842	0.986842	33.1	3
exbB|4	1	73	1	73	100	1.9726	32	0
sll1054|149	1	71	1	71	100	1	31.2	23
sll1054|111	1	74	1	73	98.6486	0.986486	30.1	8
slr1094|207	1	75	1	75	100	1	32	23
xerC|144	1	73	1	73	100	1	33.7	0
xerC|94	1	74	1	74	100	1	32.2	42
xerC|78	1	75	1	73	97.3333	0.973333	32.3	8
xerC|5	1	76	1	76	100	1	32.7	8
sgl0002|46	1	72	2	72	100	1	32.7	13.5
sgl0002|12	1	74	1	74	100	1.98649	32.3	24
sll1214|94	1	75	1	75	100	1	32.7	0
phoU|112	1	75	3	75	100	1	32.4	0
phoU|86	1	71	1	71	100	3	33.2	24
ubiX|34	1	71	1	71	100	1	33.3	3
sds|147	1	74	1	74	100	1	31.4	3
sds|90	1	74	1	73	98.6486	0.986486	32.7	23
sll1053|136	1	71	6	71	100	1	32.7	10.3
sll1053|178	1	74	1	74	100	5.98649	32.2	24
sll1053|84	1	73	5	73	100	1	33.5	20.6
sll1053|9	1	75	1	75	100	5	32.5	8
sll1401|56	1	76	1	75	98.6842	0.986842	28.1	42
sll1401|399	1	74	1	74	100	1	33.1	8
sll1401|572	1	76	1	76	100	1	31.6	3
sll1407|138	1	73	1	73	100	1	31.8	8
sll1407|66	1	71	1	71	100	1	31.6	24
infB|166	1	72	1	72	100	1	33.1	24
infB|177	1	75	4	75	100	1	33.1	8.75
infB|127	1	75	1	75	100	3.97333	32.2	3
sll1405|33	1	72	1	71	98.6111	0.986111	33.5	8
msrA|45	1	73	2	72	98.6301	0.986301	33.8	21.5
msrA|34	1	73	13	73	100	1.9863	31.1	22.7
phoA|135	1	75	1	75	100	13	31.7	0
nifS|77	1	73	1	73	100	1	32.5	3
sll1659|75	1	74	5	73	98.6486	0.986486	33.3	2.8
sll1659|13	1	71	2	71	100	5	32.8	5.5
sll1659|43	1	73	1	73	100	1.9863	32.3	8
ycf10|85	1	73	1	73	100	1	33.5	22
sll1213|43	1	73	1	73	100	1	34.3	24
sll1213|109	1	74	1	74	100	1	31	8
ank|9	1	75	1	75	100	1	31.8	23
me|53	1	72	1	72	100	1	32.4	23
me|21	1	74	1	74	100	1	32.4	0
me|154	1	72	1	72	100	1	33.6	8
me|8	1	71	3	71	100	1	31.7	24.3
sll1671|124	1	72	1	72	100	3	32.1	0
sll1671|7	1	76	1	76	100	1	31.4	0
sll1672|121	1	72	1	71	98.6111	0.986111	33.2	8
sll1673|32	1	72	1	71	98.6111	0.986111	33.1	0
sll1673|379	1	75	1	74	98.6667	0.986667	32.8	3
sll1675|21	1	72	1	71	98.6111	0.986111	32.6	8
slr0251|172	1	71	1	71	100	1	33	8
slr0251|189	1	73	1	73	100	1	33.4	0
fhuA2|454	1	72	1	72	100	1	33.7	3
sll1678|245	1	71	1	71	100	1	33.3	8
sll1678|145	1	71	1	70	98.5915	0.985915	29.5	0
nusA|337	1	75	1	74	98.6667	0.986667	31.9	23
slr0729|28	1	71	1	70	98.5915	0.985915	33.4	42
slr0728|34	1	76	3	75	98.6842	0.986842	32.5	35
slr0723|93	1	76	3	76	100	3	31.5	12
slr0723|22	1	74	1	74	100	2.98649	30.6	8
sll1064|32	1	72	1	72	100	1	31	36
sll1064|100	1	72	1	72	100	1	31.1	3
slr1101|14	1	76	3	76	100	1	32.1	18.7
dnaJ|95	1	75	1	75	100	2.98667	32.4	23
dnaJ|33	1	72	1	72	100	1	33.2	0
sll1060|33	1	76	1	75	98.6842	0.986842	31.7	23
sll1063|17	1	72	1	71	98.6111	0.986111	32.7	8
sll1063|64	1	74	1	74	100	1	32.2	8
sll1063|28	1	73	8	73	100	1	33.2	11.8
sll1063|49	1	73	1	73	100	8	33.5	3
lepB|22	1	72	1	72	100	1	30.8	24
glgA|101	1	73	1	72	98.6301	0.986301	31.8	22
ksgA|91	1	75	5	75	100	1	32.1	17.6
ksgA|76	1	75	1	75	100	5	32.1	24
ksgA|64	1	75	3	73	97.3333	0.973333	33	11.7
ksgA|12	1	74	2	74	100	3	30.3	3
sll1680|189	1	71	2	71	100	2	31.8	13
sll0703|72	1	74	1	74	100	2	31.8	8
sll0702|20	1	73	1	73	100	1	34.4	3
sll1318|123	1	74	1	74	100	1	29.5	0
sll1318|38	1	71	1	71	100	1	33.9	8
slr1122|4	1	71	3	71	100	1	31	5.33
rfbD|199	1	72	2	72	100	3	32.7	22
psbA2|926	1	74	1	74	100	2	32.3	24
glgX|50	1	75	1	75	100	1	33.5	42
glgX|21	1	75	1	75	100	1	32.6	3
pleD|108	1	76	1	76	100	1	31.6	23
slr1128|223	1	73	1	73	100	1	33.1	42
purL|45	1	74	1	74	100	1	31.9	0
gpmB|4	1	76	2	76	100	1	32.5	12
gpmB|73	1	74	2	74	100	1.97297	31.9	24
gpmB|30	1	75	1	75	100	2	32.3	8
slr1103|78	1	75	1	75	100	1	33	0
slr1103|139	1	72	1	72	100	1	32.6	8
slr1103|151	1	72	1	71	98.6111	0.986111	33.6	8
lig|4	1	73	1	73	100	1	33.6	23
lig|32	1	72	1	72	100	1	33.9	0
lig|17	1	74	3	74	100	1	32.6	7.67
lig|78	1	71	1	71	100	3	32.7	22
slr0240|13	1	74	1	74	100	1	32.5	24
slr0240|24	1	75	1	75	100	1	31.7	8
slr0241|69	1	75	1	75	100	1	31.5	23
slr0241|55	1	73	1	73	100	1	32.8	3
slr0249|154	1	74	8	74	100	1	29.9	17.8
slr0249|27	1	74	1	74	100	7.95946	31.7	0
slr0249|175	1	75	2	75	100	1	31.9	4
trpE|268	1	71	2	71	100	2	33.8	8
trpE|220	1	72	1	72	100	2	32.9	24
hrcA|9	1	72	2	72	100	1	33.2	23.5
hrcA|56	1	75	2	75	100	2	32.3	11.5
hrcA|29	1	74	6	74	100	1.97297	31.9	9.67
hrcA|44	1	72	1	72	100	6	32.4	8
sll1040|58	1	72	1	72	100	1	32.8	0
sll1040|3	1	72	2	72	100	1	32.9	13.5
pnp|89	1	73	1	73	100	1.9863	33	23
pnp|130	1	75	1	75	100	1	31.5	0
slr0254|265	1	76	1	75	98.6842	0.986842	33.5	42
slr0254|31	1	72	1	71	98.6111	0.986111	31.7	23
slr0731|58	1	76	1	76	100	1	32.4	3
slr0731|43	1	72	1	72	100	1	32.2	23
slr0244|75	1	71	2	71	100	1	34.2	13
slr0252|55	1	74	1	74	100	1.98649	32.4	23
slr0727|534	1	74	1	74	100	1	32.1	8
slr0727|941	1	72	1	72	100	1	31.9	0
slr0245|52	1	73	1	73	100	1	31.1	38
slr0245|125	1	71	1	71	100	1	33.5	0
slr0245|108	1	76	1	76	100	1	31.2	0
slr0245|66	1	72	1	71	98.6111	0.986111	32.9	23
sll0710|1235	1	71	1	71	100	1	34.1	3
sll0711|77	1	76	1	75	98.6842	0.986842	29.9	27
slr1098|102	1	73	1	73	100	1	32.4	8
talB|49	1	76	3	76	100	1	32.3	11.3
sohA|55	1	73	3	73	100	2.9863	33.3	16.3
sohA|118	1	73	1	73	100	3	32.4	23
sohA|34	1	74	1	73	98.6486	0.986486	34.1	24
sohA|68	1	74	5	74	100	1	31.6	27.6
slr1097|44	1	75	1	75	100	5	32.3	8
crtX|119	1	76	6	76	100	1	30.3	9.67
crtX|49	1	73	1	73	100	6	31.8	23
crtX|130	1	71	2	71	100	1	29.4	11.5
slr1095|129	1	76	1	76	100	1.97368	31.1	3
slr1095|67	1	76	1	74	97.3684	0.973684	28.8	42
slr1095|4	1	73	3	72	98.6301	0.986301	32.9	29.7
slr1794|41	1	76	3	76	100	2.98684	32.7	23.7
slr1794|127	1	75	2	75	100	3	31.3	13
pdxJ|34	1	74	3	74	100	2	31.4	16.7
pdxJ|19	1	73	1	73	100	3	32.1	3
pdxJ|80	1	75	1	75	100	1	32.6	0
slr1796|109	1	71	1	71	100	1	33.7	42
slr1790|73	1	76	1	74	97.3684	0.973684	31.9	8
slr1107|73	1	76	3	76	100	1	32.9	13
slr0243|214	1	72	1	72	100	2.97222	31.6	3
slr1799|10	1	76	2	76	100	1	32.6	11
slr1799|157	1	71	1	71	100	1.98592	32.5	0
gltD|121	1	75	1	75	100	1	31.8	23
