file_name	sgRNA	numreads
Example_S1_L001_R1	bvdR|262	1
Example_S1_L001_R1	ssr2998|142	1
Example_S1_L001_R1	nusA|223	1
Example_S1_L001_R1	nusA|337	4
Example_S1_L001_R1	slr0729|28	2
Example_S1_L001_R1	slr0729|58	1
Example_S1_L001_R1	slr0728|46	2
Example_S1_L001_R1	slr0723|93	7
Example_S1_L001_R1	slr0723|22	2
Example_S1_L001_R1	slr0723|110	1
Example_S1_L001_R1	slr0723|10	1
Example_S1_L001_R1	sll1064|32	6
Example_S1_L001_R1	sll1064|100	2
Example_S1_L001_R1	sll1064|157	2
Example_S1_L001_R1	slr1101|37	5
Example_S1_L001_R1	dnaJ|95	1
Example_S1_L001_R1	dnaJ|152	1
Example_S1_L001_R1	sll1061|486	1
Example_S1_L001_R1	sll1060|67	1
Example_S1_L001_R1	sll1063|17	1
Example_S1_L001_R1	sll1063|64	2
Example_S1_L001_R1	sll1063|28	12
Example_S1_L001_R1	sll1063|49	1
Example_S1_L001_R1	lepB|108	1
Example_S1_L001_R1	lepB|10	2
Example_S1_L001_R1	lepB|50	4
Example_S1_L001_R1	ksgA|76	1
Example_S1_L001_R1	ksgA|64	3
Example_S1_L001_R1	ksgA|12	1
Example_S1_L001_R1	sll1680|189	1
Example_S1_L001_R1	sll0703|72	1
Example_S1_L001_R1	sll0702|20	1
Example_S1_L001_R1	sll0702|4	1
Example_S1_L001_R1	sll1319|145	1
Example_S1_L001_R1	sll1319|220	1
Example_S1_L001_R1	sll1318|123	1
Example_S1_L001_R1	slr1127|178	1
Example_S1_L001_R1	slr1127|33	2
Example_S1_L001_R1	rfbD|199	1
Example_S1_L001_R1	psbA2|460	1
Example_S1_L001_R1	slr1128|204	1
Example_S1_L001_R1	purL|110	1
Example_S1_L001_R1	gpmB|60	1
Example_S1_L001_R1	gpmB|73	2
Example_S1_L001_R1	gpmB|30	1
Example_S1_L001_R1	slr1103|78	1
Example_S1_L001_R1	lig|32	2
Example_S1_L001_R1	lig|78	1
Example_S1_L001_R1	slr0240|13	1
Example_S1_L001_R1	slr0240|24	2
Example_S1_L001_R1	slr0240|86	4
Example_S1_L001_R1	slr0249|27	1
Example_S1_L001_R1	trpE|220	2
Example_S1_L001_R1	hrcA|70	1
Example_S1_L001_R1	hrcA|56	2
